id,sentimento_op30_tf_idf,sentimento_op30,palavras_op30,sentimento_sent_tf_idf,sentimento_sent,palavras_sent,palavras
89,0,0,9,0.08055831452752105,1,1,63
90,0.060102389829607694,2,13,0.02620389230593815,1,3,51
91,0.5537079772076814,6,8,0,0,1,47
92,0.3726253035814755,4,7,0.3320995983723751,3,3,33
93,0,0,0,0,0,0,42
94,0.31882403603839254,3,9,0.1253982825172559,1,2,44
95,-0.013923059155557437,1,45,0.008446220074596033,1,9,371
96,-0.11089235286410891,-2,24,0.08324840911150705,0,8,106
97,0.1491856391936154,2,9,-0.06577054517078398,-1,1,59
98,-0.31814674018129335,-7,23,-0.20900734140282132,-6,6,111
99,0.3305167105662009,4,6,0.4335224426339468,5,4,49
100,-0.18438736622642654,-5,11,0,0,1,97
101,0,0,1,0,0,0,17
102,-0.12602676010180824,-1,3,0.19918302884881278,1,1,22
103,0.20095052161057925,2,5,0,0,1,31
104,-0.4866476381828886,-4,4,-0.1565009512383529,-1,1,28
105,0.05197457441596028,4,13,-0.07387210315464725,-3,1,55
106,-0.15689460270223207,-3,13,-0.13342024877501893,-2,1,59
107,-0.03769330379199812,3,28,0.057404108267243514,2,2,105
108,0.16767633882336075,1,3,0,0,0,22
109,0,0,2,0,0,0,14
110,0.1524315918580572,4,7,-0.05639082016926474,-1,2,78
111,0.052345905254317066,0,7,-0.06537493139453542,-1,1,46
112,0.038499750052334664,0,6,-0.16908025815225836,-1,1,14
113,0.24239487860141218,3,5,0,0,0,32
114,-0.1820195641304028,-1,1,0,0,0,20
115,0.05659427562271077,3,18,0.06583663971450227,1,4,118
116,-0.21443179302563198,-2,5,0.09923962889302095,1,1,29
117,0.1595504000193868,5,28,0.010067550202091328,1,5,105
118,-0.01781977771635556,1,40,-0.0938610042313652,-4,12,184
119,0.15081427746837905,2,2,-0.04227006453806459,-1,2,50
120,-0.25241668687165747,-2,3,0,0,0,34
121,0.042266211273226606,3,23,-0.00348284708901217,-1,4,131
122,0.11320711510355051,6,29,0.011830703311605517,-1,5,162
123,-0.012629088865835587,-1,7,-0.2153825688516111,-3,2,50
124,0.13427745554998566,5,13,0.06281345765873612,1,2,87
125,0,0,0,0,0,0,45
126,-0.01007778543443553,1,36,-0.054674612437744845,-2,12,199
127,0.07685394293824255,3,31,-0.07330391901307658,-4,5,118
128,0.09339417414251328,1,8,-0.11536641991587544,-1,2,46
129,-0.12807734944839738,-1,9,-0.1573086652169364,-2,3,42
130,0.16564247609711977,1,6,0.12288707124014901,1,1,38
131,-0.03191961721623572,2,39,-0.10365857795313588,-8,8,244
132,-0.027346861759568616,0,4,0,0,0,51
133,0.10783060710040387,2,12,0,0,0,51
134,0.19403070788259003,5,24,0.021137965801693772,-2,5,110
135,-0.07217310375704405,-1,5,-0.06250716420777844,-1,3,26
136,-0.29723960768629143,-5,16,-0.1814917973025333,-2,3,70
137,0.17869969213870607,2,5,0,0,0,23
138,0.15448165584259937,2,6,-0.08871799741186348,-2,2,43
139,-0.0032207995961985487,1,26,-0.0700526545198015,-1,9,106
140,0.5509400836707187,3,8,-0.4169883409796622,-2,2,21
141,0.12883299169695375,2,11,0,0,4,58
142,0.059042710682613464,1,6,-0.13950013707917003,-2,3,49
143,0.10265804407541085,2,5,-0.05429893845494957,-1,2,62
144,0.018163504685402336,1,5,-0.03850817669777473,0,3,48
145,-0.10909687715339172,-2,4,-0.028512039814074373,-1,1,52
146,0.15294467409868143,1,6,-0.09104321592813912,-1,1,26
147,-0.09204999914864423,0,9,-0.3897953008943796,-4,4,48
148,0.31550248761305927,4,13,0.14410450389485635,2,2,55
149,-0.18781871355776764,0,8,0.046103602798007466,1,1,40
150,-0.14592572222314637,-1,5,-0.12458545337534825,-1,1,19
151,0.1565009512383529,2,10,0.10272451140760058,1,2,48
152,-0.08137868804948961,0,4,0,0,0,27
153,-0.136807947337307,-3,15,-0.3022226163348092,-6,6,78
154,0,0,1,0.2834331151385129,0,2,12
155,0.05903514802640501,1,13,0.04796582063162679,1,2,57
156,0.16724171943525312,3,13,0.1331910148847465,3,2,68
157,0.24379448949723814,3,8,-0.4310350162761687,-6,6,50
158,-0.04240415924076193,-1,11,0.05706545989989241,1,3,82
159,0.16106688393113483,1,2,-0.12458545337534825,-1,1,18
160,-0.05566850863700052,-1,8,-0.055049386375153886,-2,1,69
161,0.26764178725434445,2,7,-0.2958113331176293,-2,2,38
162,-0.11054853844023546,0,2,-0.29213510897825873,-1,1,14
163,0.07979675291527903,3,16,0.09843315679151,2,2,90
164,-0.01459237171813832,0,64,-0.0017531094991416352,-2,13,426
165,-0.11054853844023546,0,2,-0.29213510897825873,-1,1,14
166,0.10859787690989914,1,5,0.05146448684428741,1,1,40
167,0.1409770504231618,3,12,-0.08011556938602461,-1,1,61
168,0.14053352194203145,7,30,0.062435245780839276,1,5,131
169,-0.19549006549061324,-9,48,-0.10809724011283842,-12,14,233
170,-2.025793837339151,-3,3,-0.5837135883907079,-1,1,8
171,-0.06535778437416914,-4,34,-0.050514066861627266,-3,6,220
172,-0.01459237171813832,0,64,-0.0017531094991416352,-2,13,426
173,-0.06535778437416914,-4,34,-0.050514066861627266,-3,6,220
174,0.09951321206340834,1,9,0.06795560593724954,1,1,46
175,-0.2596140426012489,-4,10,0.08776816040935585,1,3,62
176,0.08733412186604199,3,11,-0.0926501519531379,-3,3,94
177,-0.07701635339554948,-1,3,0.12971413075349064,1,1,35
178,0.19908156281555653,5,20,0.1271059362270957,2,4,100
179,-0.06409703983649273,-2,6,-0.05361474705144778,-1,3,50
180,-0.221858499838222,-1,1,0,0,0,24
181,0.04146741157087901,2,19,-0.11719179861370044,-3,3,110
182,-0.09407052558027752,-1,36,-0.12556724213894963,-4,11,167
183,0.17947388309357537,6,16,-0.014010226460364133,-1,1,102
184,0.053319013889226566,1,3,0,0,0,25
185,-0.30050161179898177,-7,30,-0.2292306249312702,-6,6,105
186,0.11809038046156409,4,20,0,0,2,91
187,0.0416388704237698,3,17,-0.016788110738522107,-1,4,124
188,0.04515177255645004,4,57,0.0034692921958040888,2,12,277
